t_us,x_gal,y_gal,z_gal
475373058,-6.55869,-18.11092,983.13235
475383058,-6.48416,-17.81280,983.13235
475393058,-6.48416,-18.18545,982.83423
475403058,-6.33510,-18.18545,982.83423
475413058,-6.78228,-18.11092,983.13235
475423058,-6.48416,-18.33451,982.83423
475433058,-6.40963,-17.88733,983.20688
475443058,-6.48416,-18.03639,982.61064
475453058,-6.63322,-18.18545,982.83423
475463058,-6.55869,-18.11092,983.13235
475473058,-6.70775,-18.03639,982.90876
475483058,-6.33510,-18.11092,983.13235
475493058,-6.55869,-17.96186,983.13235
475503058,-6.48416,-17.88733,983.20688
475513058,-6.48416,-17.96186,982.83423
475523058,-6.48416,-18.18545,983.13235
475533058,-6.48416,-18.11092,982.83423
475543058,-6.55869,-18.18545,983.50501
475553058,-6.55869,-18.18545,982.98329
475563058,-6.48416,-18.03639,982.98329
475573058,-6.18603,-17.88733,983.20688
475583058,-6.33510,-17.96186,982.68517
475593058,-6.40963,-17.73827,982.68517
475603058,-6.55869,-18.11092,982.98329
475613058,-6.63322,-17.81280,982.83423
475623058,-6.63322,-17.88733,982.83423
475633058,-6.26057,-18.18545,982.68517
475643058,-6.40963,-18.11092,983.43048
475653058,-6.40963,-18.11092,982.98329
475663058,-6.48416,-18.03639,982.98329
475673058,-6.78228,-17.73827,982.75970
475683058,-6.40963,-17.81280,982.90876
475693058,-6.48416,-17.81280,982.90876
475703058,-6.55869,-17.73827,982.98329
475713058,-6.63322,-18.25998,983.05782
475723058,-6.48416,-17.81280,983.20688
475733058,-6.40963,-18.03639,982.83423
475743058,-6.26057,-17.96186,983.05782
475753058,-6.48416,-17.96186,983.05782
475763058,-6.33510,-17.81280,983.35594
475773058,-6.26057,-17.88733,982.90876
475783058,-6.48416,-18.40904,983.05782
475793058,-6.26057,-18.25998,982.83423
475803058,-6.33510,-17.73827,983.28141
475813058,-6.40963,-18.03639,982.83423
475823058,-6.33510,-17.88733,983.28141
475833058,-6.55869,-18.18545,983.05782
475843058,-6.63322,-18.11092,982.90876
475853058,-6.26057,-17.88733,982.98329
475863058,-6.40963,-18.11092,982.75970
475873058,-6.55869,-18.18545,982.98329
475883058,-6.48416,-18.11092,982.90876
475893058,-6.40963,-18.03639,982.46158
475903058,-6.55869,-18.03639,983.50501
475913058,-6.40963,-18.18545,983.05782
475923058,-6.63322,-17.73827,983.13235
475933058,-6.55869,-18.03639,982.90876
475943058,-6.40963,-17.96186,983.20688
475953058,-6.33510,-18.25998,982.75970
475963058,-6.33510,-18.18545,982.98329
475973058,-6.40963,-17.96186,983.05782
475983058,-6.78228,-17.96186,983.28141
475993058,-6.40963,-18.18545,983.20688
476003058,-6.33510,-17.88733,983.05782
476013058,-6.40963,-17.81280,983.05782
476023058,-6.26057,-18.25998,982.83423
476033058,-6.48416,-18.25998,982.83423
476043058,-6.70775,-18.18545,983.20688
476053058,-6.63322,-18.03639,982.90876
476063058,-6.33510,-18.40904,982.98329
476073058,-6.33510,-17.96186,982.83423
