t_us,x_gal,y_gal,z_gal
12093058,-6.48416,-17.96186,982.98329
12103058,-6.55869,-17.96186,982.61064
12113058,-6.55869,-18.03639,982.90876
12123058,-6.48416,-17.96186,983.05782
12133058,-6.48416,-18.03639,982.68517
12143058,-6.63322,-17.96186,982.90876
12153058,-6.33510,-18.18545,983.13235
12163058,-6.40963,-17.96186,982.68517
12173058,-6.33510,-18.03639,983.13235
12183058,-6.40963,-18.18545,982.83423
12193058,-6.55869,-17.88733,982.68517
12203058,-6.48416,-18.18545,982.53611
12213058,-6.63322,-17.81280,983.05782
12223058,-6.55869,-17.96186,982.68517
12233058,-6.55869,-18.11092,982.61064
12243058,-6.40963,-18.03639,982.90876
12253058,-6.63322,-18.25998,982.90876
12263058,-6.40963,-18.33451,982.83423
12273058,-6.63322,-17.73827,982.83423
12283058,-6.40963,-18.03639,982.98329
12293058,-6.63322,-17.96186,982.83423
12303058,-6.40963,-17.96186,982.53611
12313058,-6.18603,-17.51468,982.98329
12323058,-6.40963,-18.03639,982.98329
12333058,-6.55869,-18.03639,982.68517
12343058,-6.48416,-17.81280,982.38705
12353058,-6.18603,-18.03639,982.98329
12363058,-6.48416,-18.25998,982.90876
12373058,-6.48416,-18.25998,983.05782
12383058,-6.33510,-18.18545,982.61064
12393058,-6.33510,-18.18545,982.90876
12403058,-6.40963,-17.58921,982.90876
12413058,-6.70775,-18.11092,982.61064
12423058,-6.33510,-18.33451,982.90876
12433058,-6.55869,-17.81280,982.83423
12443058,-6.63322,-18.11092,982.90876
12453058,-6.40963,-17.81280,982.83423
12463058,-6.26057,-18.33451,982.98329
12473058,-6.40963,-17.88733,983.35594
12483058,-6.40963,-18.25998,982.98329
12493058,-6.55869,-18.03639,982.75970
12503058,-6.63322,-18.03639,982.83423
12513058,-6.63322,-18.33451,983.05782
12523058,-6.63322,-18.11092,983.28141
12533058,-6.40963,-18.03639,982.98329
12543058,-6.55869,-18.18545,982.75970
12553058,-6.70775,-17.96186,982.90876
12563058,-6.63322,-18.11092,982.98329
12573058,-6.40963,-18.18545,982.83423
12583058,-6.48416,-18.33451,982.90876
12593058,-6.55869,-17.88733,983.20688
12603058,-6.48416,-18.25998,983.28141
12613058,-6.33510,-18.11092,983.13235
12623058,-6.48416,-18.25998,983.28141
12633058,-6.33510,-17.66374,983.05782
12643058,-6.55869,-18.33451,983.13235
12653058,-6.33510,-18.48357,983.20688
12663058,-6.33510,-17.96186,983.35594
12673058,-6.40963,-18.03639,983.28141
12683058,-6.48416,-17.88733,983.05782
12693058,-6.63322,-18.18545,983.28141
12703058,-6.48416,-18.25998,983.05782
12713058,-6.26057,-17.96186,982.46158
12723058,-6.26057,-18.03639,982.53611
12733058,-6.55869,-18.03639,983.28141
12743058,-6.40963,-18.33451,982.98329
12753058,-6.48416,-18.11092,983.05782
12763058,-6.48416,-18.18545,982.68517
12773058,-6.78228,-18.11092,983.05782
12783058,-6.40963,-18.55810,983.28141
12793058,-6.26057,-18.33451,982.75970
12803058,-6.26057,-17.96186,982.90876
12813058,-6.48416,-18.25998,982.98329
12823058,-6.26057,-18.25998,983.20688
12833058,-6.48416,-18.03639,983.20688
12843058,-6.40963,-18.18545,983.20688
12853058,-6.48416,-18.25998,982.98329
12863058,-6.33510,-18.11092,982.75970
12873058,-6.40963,-18.03639,982.98329
12883058,-6.55869,-17.96186,983.28141
12893058,-6.40963,-18.11092,983.13235
12903058,-6.18603,-17.96186,983.43048
12913058,-6.48416,-17.96186,983.13235
12923058,-6.33510,-18.11092,983.13235
12933058,-6.55869,-18.18545,982.90876
12943058,-6.33510,-18.11092,982.83423
12953058,-6.26057,-18.03639,983.13235
12963058,-6.18603,-18.25998,983.05782
12973058,-6.40963,-18.33451,983.20688
12983058,-6.18603,-18.03639,983.35594
