t_us,x_gal,y_gal,z_gal
394463058,-7.00587,-18.11092,983.65407
394473058,-6.55869,-17.88733,983.65407
394483058,-6.63322,-18.11092,983.20688
394493058,-6.48416,-18.25998,983.05782
394503058,-5.96244,-17.88733,983.20688
394513058,-6.33510,-17.81280,982.61064
394523058,-6.40963,-17.88733,982.61064
394533058,-6.33510,-18.25998,982.98329
394543058,-6.40963,-18.25998,982.75970
394553058,-6.70775,-18.40904,982.98329
394563058,-6.63322,-18.63264,983.05782
394573058,-6.33510,-18.25998,983.05782
394583058,-6.55869,-18.03639,982.90876
394593058,-6.18603,-18.25998,982.46158
394603058,-6.26057,-18.03639,982.53611
394613058,-6.18603,-17.88733,982.46158
394623058,-6.70775,-17.88733,982.83423
394633058,-6.55869,-18.03639,982.90876
394643058,-6.93134,-18.03639,982.98329
394653058,-7.00587,-18.03639,983.28141
394663058,-6.78228,-18.11092,983.13235
394673058,-6.70775,-17.81280,983.50501
394683058,-6.40963,-17.88733,982.83423
394693058,-6.11150,-17.88733,982.75970
394703058,-6.11150,-18.11092,982.61064
394713058,-6.18603,-18.03639,982.38705
394723058,-6.03697,-18.11092,982.75970
394733058,-6.55869,-18.33451,982.90876
394743058,-6.26057,-18.25998,983.13235
394753058,-6.48416,-18.33451,983.20688
394763058,-6.18603,-18.11092,982.90876
394773058,-6.48416,-17.96186,982.68517
394783058,-6.26057,-18.25998,982.68517
394793058,-6.11150,-18.25998,982.90876
394803058,-6.26057,-17.96186,982.38705
394813058,-6.48416,-17.88733,982.75970
394823058,-6.78228,-18.25998,983.20688
394833058,-6.40963,-18.11092,982.83423
